work,old image group,old image group in fs,replacement image group
W21916,I5832,5832,I0XL0001
W29636,I2DB4621,I2DB4621,I0XL0002
W29636,I2DB4571,I2DB4571,I0XL0003
W30199,I6004,6004,I0XL0004
W1CZ930,I1CZ1008,I1CZ1008,I0XL0005
W28960,I5833,5833,I0XL0006
W21763,I4998,4998,I0XL0007
W1CZ913,I1CZ1002,I1CZ1002,I0XL0008
W23927,I3572,3572,I0XL0009
W23208,I1971,1971,I0XL0010
W27882,I6474,6474,I0XL0011
W21872,I6205,6205,I0XL0012
W21872,I6206,6206,I0XL0013
W30533,I6473,6473,I0XL0014
W6469,I1934,1934,I0XL0015
W21854,I2059,2059,I0XL0016
W23809,I2831,2831,I0XL0017
W23543,I6475,6475,I0XL0018
W21743,I5671,5671,I0XL0019
W20479,I5842,5842,I0XL0020
W21759,I1CZ1000,I1CZ1000,I0XL0021
W23703,I1367,1367,I0XL0022
W24053,I3817,3817,I0XL0023
W22933,I5062,5062,I0XL0024
W30098,I6468,6468,I0XL0025
W30098,I6469,6469,I0XL0026
W30098,I6472,6472,I0XL0027
W11043,I1CZ1010,I1CZ1010,I0XL0028
W2PD17385,I3PD1001,I3PD1001,I0XL0029
W2PD17385,I3PD1002,I3PD1002,I0XL0030
W2PD17385,I3PD1004,I3PD1004,I0XL0031
W3CN478,I3CN626,I3CN626,I0XL0032
W20123,I4780,4780,I0XL0033
W1022,I1229,1229,I0XL0034
W9209,I3087,3087,I0XL0035
W30539,I6457,6457,I0XL0036
W25815,I3904,3904,I0XL0037
W10200,I6466,6466,I0XL0038
W15960,I6459,6459,I0XL0039
W1CZ897,I1CZ1048,I1CZ1048,I0XL0040
W25983,I3916,3916,I0XL0041
W127,I1CZ986,I1CZ986,I0XL0042
W6457,I3888,3888,I0XL0043
W1CZ928,I1CZ1004,I1CZ1004,I0XL0044
W16088,I1CZ1052,I1CZ1052,I0XL0045
W447,I6461,6461,I0XL0046
W447,I6462,6462,I0XL0047
W2993,I1CZ996,I1CZ996,I0XL0048
W29468,I5329,5329,I0XL0049
W29468,I5331,5331,I0XL0050
W3916,I2872,2872,I0XL0051
W23701,I1904,1904,I0XL0052
W9140,I2534,2534,I0XL0053
W1CZ896,I1CZ1050,I1CZ1050,I0XL0054
W9752,I6113,6113,I0XL0055
W30191,I6460,6460,I0XL0056
W21505,I2519,2519,I0XL0057
W20450,I4777,4777,I0XL0058
W1GS61404,I1GS61411,I1GS61411,I0XL0059
W22379,I3834,3834,I0XL0060
W27214,I1CZ1046,I1CZ1046,I0XL0061
W27215,I1CZ1044,I1CZ1044,I0XL0062
W23478,I2123,2123,I0XL0063
W16470,I1CZ1014,I1CZ1014,I0XL0064
W1CZ898,I1CZ1054,I1CZ1054,I0XL0065
W21888,I1986,1986,I0XL0066
W28990,I4996,4996,I0XL0067
W30541,I6485,6485,I0XL0068
W30541,I6486,6486,I0XL0069
W30541,I6489,6489,I0XL0070
W30541,I6493,6493,I0XL0071
W28835,I4997,4997,I0XL0072
W1CZ889,I1CZ1012,I1CZ1012,I0XL0073
W23757,I2623,2623,I0XL0074
W23757,I2625,2625,I0XL0075
W22703,I5424,5424,I0XL0076
W22703,I5488,5488,I0XL0077
W30540,I6458,6458,I0XL0078
W20867,I2122,2122,I0XL0079
W24051,I4615,4615,I0XL0080
W27221,I1CZ1034,I1CZ1034,I0XL0081
W22141,I1660,1660,I0XL0082
W1CZ929,I1CZ1006,I1CZ1006,I0XL0083
W22247,I2046,2046,I0XL0084
W23682,I2429,2429,I0XL0085
